loan_id,application_document,income_document,identity_document,document_status
LN-10005,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-10006,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-10007,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-10008,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-10009,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-10010,MISSING,MISSING,AVAILABLE,MISSING
LN-10011,MISSING,AVAILABLE,AVAILABLE,PENDING
LN-10012,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-10013,MISSING,AVAILABLE,MISSING,MISSING
LN-10014,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-10015,MISSING,MISSING,MISSING,PENDING
LN-10016,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-10017,MISSING,AVAILABLE,MISSING,PENDING
LN-10018,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-10019,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-10020,AVAILABLE,MISSING,AVAILABLE,AVAILABLE
LN-10021,AVAILABLE,MISSING,AVAILABLE,MISSING
LN-10022,AVAILABLE,MISSING,AVAILABLE,MISSING
LN-10023,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
LN-10024,MISSING,MISSING,AVAILABLE,AVAILABLE
LN-10025,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
LN-10026,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
LN-10027,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-10028,AVAILABLE,MISSING,MISSING,MISSING
LN-10029,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-10030,MISSING,AVAILABLE,AVAILABLE,MISSING
LN-10031,AVAILABLE,MISSING,AVAILABLE,AVAILABLE
LN-10032,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-10033,MISSING,MISSING,AVAILABLE,MISSING
LN-10034,MISSING,MISSING,AVAILABLE,PENDING
LN-10035,MISSING,MISSING,AVAILABLE,PENDING
LN-10036,MISSING,MISSING,AVAILABLE,AVAILABLE
LN-10037,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-10038,AVAILABLE,MISSING,AVAILABLE,PENDING
LN-10039,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-10040,AVAILABLE,AVAILABLE,MISSING,MISSING
LN-10041,MISSING,MISSING,MISSING,MISSING
LN-10042,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-10043,MISSING,AVAILABLE,AVAILABLE,MISSING
LN-10044,AVAILABLE,MISSING,AVAILABLE,AVAILABLE
LN-10045,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-10046,AVAILABLE,AVAILABLE,AVAILABLE,PENDING
LN-10047,MISSING,MISSING,AVAILABLE,PENDING
LN-10048,MISSING,MISSING,MISSING,AVAILABLE
LN-10049,MISSING,MISSING,AVAILABLE,PENDING
LN-10050,MISSING,AVAILABLE,AVAILABLE,MISSING
LN-10051,AVAILABLE,AVAILABLE,AVAILABLE,PENDING
LN-10052,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-10053,MISSING,MISSING,AVAILABLE,MISSING
LN-10054,MISSING,AVAILABLE,MISSING,MISSING
LN-10055,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-10056,MISSING,AVAILABLE,AVAILABLE,PENDING
LN-10057,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
LN-10058,MISSING,AVAILABLE,MISSING,PENDING
LN-10059,MISSING,AVAILABLE,MISSING,PENDING
LN-10060,AVAILABLE,MISSING,MISSING,MISSING
LN-10061,MISSING,MISSING,MISSING,PENDING
LN-10062,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-10063,MISSING,MISSING,MISSING,AVAILABLE
LN-10064,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-10065,MISSING,MISSING,MISSING,AVAILABLE
LN-10066,AVAILABLE,AVAILABLE,AVAILABLE,PENDING
LN-10067,AVAILABLE,MISSING,AVAILABLE,MISSING
LN-10068,MISSING,AVAILABLE,AVAILABLE,PENDING
LN-10069,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-10070,MISSING,MISSING,AVAILABLE,MISSING
LN-10071,AVAILABLE,MISSING,AVAILABLE,PENDING
LN-10072,MISSING,MISSING,AVAILABLE,AVAILABLE
LN-10073,MISSING,AVAILABLE,MISSING,MISSING
LN-10074,AVAILABLE,MISSING,AVAILABLE,MISSING
LN-10075,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-10076,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-10077,MISSING,AVAILABLE,AVAILABLE,MISSING
LN-10078,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-10079,MISSING,MISSING,MISSING,MISSING
LN-10080,AVAILABLE,MISSING,MISSING,PENDING
LN-10081,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-10082,MISSING,MISSING,MISSING,AVAILABLE
LN-10083,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-10084,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-10085,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-10086,AVAILABLE,MISSING,MISSING,MISSING
LN-10087,MISSING,MISSING,AVAILABLE,PENDING
LN-10088,MISSING,MISSING,AVAILABLE,MISSING
LN-10089,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-10090,AVAILABLE,MISSING,AVAILABLE,PENDING
LN-10091,AVAILABLE,MISSING,MISSING,MISSING
LN-10092,MISSING,MISSING,AVAILABLE,PENDING
LN-10093,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-10094,AVAILABLE,MISSING,MISSING,MISSING
LN-10095,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-10096,AVAILABLE,MISSING,MISSING,MISSING
LN-10097,MISSING,AVAILABLE,AVAILABLE,MISSING
LN-10098,AVAILABLE,AVAILABLE,AVAILABLE,PENDING
LN-10099,AVAILABLE,MISSING,AVAILABLE,PENDING
LN-10100,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-10100,MISSING,MISSING,AVAILABLE,PENDING
LN-10100,MISSING,MISSING,MISSING,PENDING
LN-10100,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-10100,AVAILABLE,MISSING,AVAILABLE,MISSING
LN-10100,MISSING,MISSING,AVAILABLE,MISSING
LN-10106,AVAILABLE,MISSING,AVAILABLE,MISSING
LN-10107,MISSING,AVAILABLE,MISSING,MISSING
LN-10108,MISSING,AVAILABLE,AVAILABLE,MISSING
LN-10109,AVAILABLE,MISSING,AVAILABLE,AVAILABLE
LN-10110,MISSING,AVAILABLE,AVAILABLE,MISSING
LN-10111,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
LN-10112,MISSING,AVAILABLE,MISSING,MISSING
LN-10113,MISSING,MISSING,MISSING,PENDING
LN-10114,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-10115,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-10116,AVAILABLE,MISSING,AVAILABLE,MISSING
LN-10117,MISSING,MISSING,AVAILABLE,PENDING
LN-10118,AVAILABLE,AVAILABLE,AVAILABLE,PENDING
LN-10119,AVAILABLE,AVAILABLE,AVAILABLE,PENDING
LN-10120,MISSING,MISSING,MISSING,AVAILABLE
LN-10121,AVAILABLE,MISSING,AVAILABLE,PENDING
LN-10122,MISSING,AVAILABLE,AVAILABLE,PENDING
LN-10123,MISSING,AVAILABLE,AVAILABLE,MISSING
LN-10124,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-10125,MISSING,AVAILABLE,MISSING,PENDING
LN-10126,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-10127,MISSING,MISSING,AVAILABLE,AVAILABLE
LN-10128,AVAILABLE,MISSING,MISSING,PENDING
LN-10129,AVAILABLE,AVAILABLE,MISSING,MISSING
LN-10130,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-10131,MISSING,MISSING,AVAILABLE,PENDING
LN-10132,AVAILABLE,MISSING,AVAILABLE,PENDING
LN-10133,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-10134,AVAILABLE,MISSING,MISSING,PENDING
LN-10135,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-10136,AVAILABLE,MISSING,MISSING,PENDING
LN-10137,MISSING,MISSING,AVAILABLE,MISSING
LN-10138,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-10139,MISSING,AVAILABLE,MISSING,MISSING
LN-10140,MISSING,MISSING,MISSING,MISSING
LN-10141,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-10142,AVAILABLE,MISSING,AVAILABLE,AVAILABLE
LN-10143,MISSING,MISSING,MISSING,AVAILABLE
LN-10144,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-10145,MISSING,MISSING,AVAILABLE,AVAILABLE
LN-10146,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-10147,MISSING,MISSING,AVAILABLE,PENDING
LN-10148,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-10149,MISSING,MISSING,MISSING,PENDING
LN-10150,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-10151,MISSING,MISSING,MISSING,MISSING
LN-10152,MISSING,MISSING,AVAILABLE,PENDING
LN-10153,MISSING,MISSING,AVAILABLE,PENDING
LN-10154,AVAILABLE,MISSING,MISSING,PENDING
LN-10155,MISSING,AVAILABLE,AVAILABLE,MISSING
LN-10156,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-10157,AVAILABLE,MISSING,AVAILABLE,PENDING
LN-10158,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-10159,MISSING,AVAILABLE,MISSING,PENDING
LN-10160,MISSING,MISSING,MISSING,PENDING
LN-10161,AVAILABLE,MISSING,MISSING,PENDING
