loan_id,exception_type,severity
,MISSING_LOAN_ID,CRITICAL
,MISSING_LOAN_ID,CRITICAL
,MISSING_LOAN_ID,CRITICAL
,MISSING_LOAN_ID,CRITICAL
,MISSING_LOAN_ID,CRITICAL
LN-10100,DUPLICATE_LOAN_ID,CRITICAL
LN-10100,DUPLICATE_LOAN_ID,CRITICAL
LN-10100,DUPLICATE_LOAN_ID,CRITICAL
LN-10100,DUPLICATE_LOAN_ID,CRITICAL
LN-10100,DUPLICATE_LOAN_ID,CRITICAL
LN-10200,NEGATIVE_PRINCIPAL,CRITICAL
LN-10201,NEGATIVE_PRINCIPAL,CRITICAL
LN-10202,NEGATIVE_PRINCIPAL,CRITICAL
LN-10203,NEGATIVE_PRINCIPAL,CRITICAL
LN-10204,NEGATIVE_PRINCIPAL,CRITICAL
LN-10210,NEGATIVE_BALANCE,CRITICAL
LN-10211,NEGATIVE_BALANCE,CRITICAL
LN-10212,NEGATIVE_BALANCE,CRITICAL
LN-10213,NEGATIVE_BALANCE,CRITICAL
LN-10214,NEGATIVE_BALANCE,CRITICAL
LN-10300,INVALID_DATE,HIGH
LN-10301,INVALID_DATE,HIGH
LN-10302,INVALID_DATE,HIGH
LN-10303,INVALID_DATE,HIGH
LN-10304,INVALID_DATE,HIGH
LN-10310,MATURITY_BEFORE_ORIGINATION,HIGH
LN-10311,MATURITY_BEFORE_ORIGINATION,HIGH
LN-10312,MATURITY_BEFORE_ORIGINATION,HIGH
LN-10313,MATURITY_BEFORE_ORIGINATION,HIGH
LN-10314,MATURITY_BEFORE_ORIGINATION,HIGH
