loan_id,borrower_id,loan_type,origination_date,maturity_date,original_principal,current_balance,interest_rate,term_months,borrower_state,loan_purpose,credit_grade,employment_length,income_band,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status,source_system
,BR-22829,AUTO,2025-04-19,2032-04-19,150000,60000,12.21,84,MH,HOME_IMPROVEMENT,D,<1,VERY_HIGH,60+ DPD,60,ServicerC,2025-10-15,2026-08-10,MISSING,SERVICING_SYSTEM
,BR-22103,BUSINESS,2021-08-22,2024-08-22,75000,18750,7.87,36,AP,VEHICLE,E,<1,VERY_HIGH,30+ DPD,15,ServicerA,2026-06-30,2026-07-30,AVAILABLE,MANUAL_UPLOAD
,BR-21559,AUTO,2019-08-10,2025-08-10,150000,46500,10.28,72,KL,VEHICLE,B,<1,MEDIUM,30+ DPD,15,ServicerC,2025-10-01,2026-07-21,MISSING,ORIGINATION_SYSTEM
,BR-22317,BUSINESS,2024-11-01,2027-11-01,500000,375000,9.19,36,HR,HOME_IMPROVEMENT,C,7-10,MEDIUM,30+ DPD,15,ServicerB,2026-03-19,2026-05-25,AVAILABLE,MANUAL_UPLOAD
,BR-20621,PERSONAL,2018-10-26,2023-10-26,300000,192000,16.77,60,MH,EDUCATION,D,4-6,HIGH,30+ DPD,15,ServicerB,2025-02-25,2026-02-19,AVAILABLE,MANUAL_UPLOAD
LN-10005,BR-21172,PERSONAL,2022-08-03,2025-08-03,750000,300000,17.42,36,KL,WORKING_CAPITAL,B,1-3,LOW,90+ DPD,90,ServicerA,2025-08-29,2026-06-17,AVAILABLE,ORIGINATION_SYSTEM
LN-10006,BR-20903,EDUCATION,2023-06-25,2043-06-25,250000,35000,7.39,240,WB,HOME_IMPROVEMENT,E,10+,HIGH,30+ DPD,30,ServicerA,2025-11-03,2026-07-29,AVAILABLE,ORIGINATION_SYSTEM
LN-10007,BR-21578,PERSONAL,2024-02-15,2031-02-15,1000000,360000,11.87,84,GJ,DEBT_CONSOLIDATION,C,<1,VERY_HIGH,60+ DPD,45,ServicerC,2026-04-14,2026-03-04,PENDING,MANUAL_UPLOAD
LN-10008,BR-23710,BUSINESS,2020-07-07,2023-07-07,300000,183000,12.96,36,UP,VEHICLE,C,4-6,VERY_HIGH,30+ DPD,15,ServicerB,2026-07-14,2026-02-16,PENDING,MANUAL_UPLOAD
LN-10009,BR-23536,AUTO,2024-04-23,2029-04-23,500000,100000,17.51,60,BR,WORKING_CAPITAL,B,4-6,HIGH,90+ DPD,120,ServicerA,2026-01-03,2026-07-21,AVAILABLE,SERVICING_SYSTEM
