loan_id,current_balance,interest_rate,payment_status,days_past_due,last_updated_at,servicer_name
LN-10017,217500,12.36,60+ DPD,45,2026-06-28,ServicerC
LN-10034,102000,13.08,CURRENT,0,2026-03-11,ServicerB
LN-10051,273000,11.54,90+ DPD,90,2026-03-01,ServicerB
LN-10068,117500,14.47,CURRENT,0,2026-08-15,ServicerB
LN-10085,730000,13.45,CURRENT,0,2026-07-16,ServicerA
LN-10100,98000,15.4,CURRENT,0,2026-06-02,ServicerC
LN-10119,24000,7.58,CURRENT,0,2026-08-07,ServicerC
LN-10136,138000,7.52,60+ DPD,60,2026-02-25,ServicerB
LN-10153,10000,6.4,90+ DPD,90,2026-06-18,ServicerC
LN-10170,114000,10.62,CURRENT,0,2026-05-22,ServicerC
LN-10187,63000,5.45,CURRENT,0,2026-04-28,ServicerB
LN-10204,152000,13.64,CURRENT,0,2026-08-02,ServicerC
LN-10221,40500,8.09,60+ DPD,60,2026-05-07,ServicerA
LN-10238,217500,12.24,90+ DPD,90,2026-03-08,ServicerA
LN-10255,600000,11.66,30+ DPD,30,2026-03-20,ServicerB
LN-10272,42000,14.84,CURRENT,0,2026-06-27,ServicerC
LN-10289,375000,10.02,30+ DPD,30,2026-04-03,ServicerC
LN-10306,7000,11.54,90+ DPD,120,2026-05-23,ServicerB
LN-10323,390000,5.82,30+ DPD,30,2026-04-26,ServicerC
LN-10340,42000,7.21,60+ DPD,45,2026-04-06,ServicerB
LN-10357,320000,16.25,CURRENT,0,2026-07-27,ServicerA
LN-10374,26500,17.77,CURRENT,0,2026-04-12,ServicerB
LN-10391,77000,7.25,60+ DPD,45,2026-02-24,ServicerB
LN-10408,19000,7.59,60+ DPD,60,2026-02-28,ServicerC
LN-10425,21000,6.32,CURRENT,0,2026-06-09,ServicerB
LN-10442,445000,12.22,CURRENT,0,2026-07-16,ServicerB
LN-10459,9750,15.92,60+ DPD,45,2026-08-16,ServicerA
LN-10476,47000,8.94,60+ DPD,60,2026-04-22,ServicerA
LN-10493,592500,9.1,60+ DPD,45,2026-07-31,ServicerB
LN-10510,86000,14.16,30+ DPD,30,2026-04-03,ServicerB
LN-10527,85500,16.47,30+ DPD,15,2026-03-18,ServicerC
LN-10544,86000,6.53,60+ DPD,45,2026-05-16,ServicerB
LN-10561,77500,13.23,CURRENT,0,2026-03-11,ServicerB
LN-10578,64500,11.86,CURRENT,0,2026-04-25,ServicerA
LN-10595,210000,11.73,30+ DPD,30,2026-06-03,ServicerA
LN-10612,71000,10.48,30+ DPD,15,2026-03-11,ServicerC
LN-10629,112500,8.15,CURRENT,0,2026-06-11,ServicerB
LN-10646,285000,14.59,CURRENT,0,2026-08-12,ServicerB
LN-10663,129000,15.58,CURRENT,0,2026-06-18,ServicerA
LN-10680,80000,8.97,60+ DPD,45,2026-04-22,ServicerC
LN-10697,670000,17.42,CURRENT,0,2026-05-26,ServicerC
LN-10714,445000,10.87,30+ DPD,15,2026-02-09,ServicerA
LN-10731,124500,15.87,CURRENT,0,2026-07-01,ServicerC
LN-10748,40000,9.25,90+ DPD,90,2026-07-23,ServicerB
LN-10765,540000,11.38,CURRENT,0,2026-04-05,ServicerA
LN-10782,13500,15.46,CURRENT,0,2026-04-28,ServicerB
LN-10799,27000,14.08,CURRENT,0,2026-05-26,ServicerC
LN-10816,14000,9.26,CURRENT,0,2026-05-07,ServicerA
LN-10833,3750,17.95,CURRENT,0,2026-06-11,ServicerB
LN-10850,33000,6.11,60+ DPD,60,2026-06-25,ServicerC
LN-10867,186000,9.09,30+ DPD,15,2026-07-27,ServicerA
LN-10884,92000,17.74,30+ DPD,15,2026-03-25,ServicerA
LN-10901,21500,17.8,60+ DPD,60,2026-03-08,ServicerA
LN-10918,17500,11.51,CURRENT,0,2026-06-03,ServicerA
LN-10935,57000,8.43,30+ DPD,15,2026-02-02,ServicerC
LN-10952,112500,6.15,CURRENT,0,2026-06-27,ServicerA
LN-10969,84000,9.65,90+ DPD,90,2026-03-10,ServicerB
LN-10986,315000,9.25,90+ DPD,120,2026-06-20,ServicerC
LN-11003,50000,17.47,CLOSED,0,2026-05-08,ServicerB
LN-11020,174000,6.46,CURRENT,0,2026-05-07,ServicerC
LN-11037,100500,8.89,CURRENT,0,2026-02-08,ServicerC
LN-11054,182000,7.32,30+ DPD,15,2026-02-16,ServicerA
LN-11071,134000,17.74,30+ DPD,30,2026-07-30,ServicerB
LN-11088,235000,5.36,60+ DPD,60,2026-03-20,ServicerB
LN-11105,55500,16.24,90+ DPD,120,2026-06-25,ServicerA
LN-11122,920000,9.43,60+ DPD,45,2026-06-23,ServicerC
LN-11139,670000,11.51,60+ DPD,45,2026-08-09,ServicerC
LN-11156,360000,9.72,CURRENT,0,2026-06-15,ServicerA
LN-11173,246000,8.11,30+ DPD,30,2026-07-25,ServicerC
LN-11190,460000,12.54,90+ DPD,90,2026-05-28,ServicerC
LN-11207,650000,8.39,60+ DPD,60,2026-02-08,ServicerB
LN-11224,148000,9.7,CURRENT,0,2026-02-11,ServicerC
LN-11241,40000,17.69,30+ DPD,15,2026-08-15,ServicerC
LN-11258,222000,13.53,CURRENT,0,2026-04-11,ServicerB
LN-11275,157500,13.09,90+ DPD,90,2026-04-07,ServicerA
LN-11292,202500,11.48,60+ DPD,45,2026-04-09,ServicerB
LN-11309,198000,14.5,CURRENT,0,2026-04-24,ServicerC
LN-11326,41000,8.38,60+ DPD,45,2026-02-23,ServicerB
LN-11343,36000,14.06,90+ DPD,90,2026-04-02,ServicerB
LN-11360,215000,15.71,60+ DPD,45,2026-04-17,ServicerC
LN-11377,105000,12.5,CURRENT,0,2026-07-18,ServicerB
